관광지,url,촬영장소,검색 키워드
강릉 중앙시장,http://tong.visitkorea.or.kr/cms2/website/44/2792044.jpeg,강원도 강릉시 성남동,"강릉 중앙시장,강원도 강릉시,전통시장,상설시장"
강릉 카페,http://tong.visitkorea.or.kr/cms2/website/48/2825648.jpg,강원도 강릉시,"강릉 카페,강원도 강릉시,강릉 커피숍,커피 원두"
강릉 커피박물관_커피커퍼,http://tong.visitkorea.or.kr/cms2/website/09/2044409.jpg,강원도 강릉시,"강릉 커피박물관,커피커퍼,커피박물관,강릉,박물관,커피,강원도 관광지 기획촬영,강원도 기획촬영,체험관광,원두"
강릉 코스모스축제,http://tong.visitkorea.or.kr/cms2/website/13/2044413.jpg,강원도 강릉시,"강릉 코스모스축제,강릉,코스모스축제,강릉 축제,가을 축제,코스모스,꽃,가을,강원도 관광지 기획촬영,강원도 기획촬영"
강릉단오문화관,http://tong.visitkorea.or.kr/cms2/website/89/1189789.jpg,강원도 강릉,강릉단오문화관
강릉커피거리,http://tong.visitkorea.or.kr/cms2/website/85/2825585.jpg,강원도 강릉시,"강릉커피거리,강원도 강릉시,안목항 카페거리,안목해변 커피거리,안목 커피거리,강릉카페거리,바다,드론촬영,드론사진,항공촬영"
강릉통일공원,http://tong.visitkorea.or.kr/cms2/website/00/2030000.jpg,강원도 강릉시,"강릉통일공원,강원도,강릉,함정 전시관,전시관,박물관,북한잠수함"
강릉항,http://tong.visitkorea.or.kr/cms2/website/77/1799477.jpg,강원도 강릉,강릉항 일출
강릉항 여객터미널,http://tong.visitkorea.or.kr/cms2/website/10/1799010.jpg,강원도 강릉 ,강릉항 여객터미널
강릉항 요트마리나,http://tong.visitkorea.or.kr/cms2/website/05/1799005.jpg,강원도 강릉 ,강릉항 요트 마리나
강문해변,http://tong.visitkorea.or.kr/cms2/website/50/2536150.jpg,강원도 강릉시 강문동,"강문해변,강원도 강릉시,동해바다,강문솟대다리"
강원_백두대간 협곡열차 V-Train,http://tong.visitkorea.or.kr/cms2/website/24/1801124.jpg,강원도 태백,"백두대간 협곡열차,기차여행,철암역"
강원_중부내륙 순환열차 O-Train,http://tong.visitkorea.or.kr/cms2/website/67/1812367.jpg,강원도 정선,"중부내륙 순환열차,기차여행"
강원국제관광엑스포 기념관,http://tong.visitkorea.or.kr/cms2/website/77/2029377.jpg,강원도 속초시 ,"강원국제관광엑스포기념관,강원도,속초,전시관,박물관"
강원국제관광엑스포 기념탑,http://tong.visitkorea.or.kr/cms2/website/64/1800964.jpg,강원도 속초,"강원국제관광엑스포 기념탑,전망대"
강원도 정동진,http://tong.visitkorea.or.kr/cms2/website/75/2620375.jpg,강원도 강릉시 강동면,"2019 제47회 대한민국 관광사진 공모전,강원도 정동진,강원도 강릉시,정동진해수욕장,정동진해변,동해바다,바닷가"
